pklt_nm,pklt_knd_nm,lat,lot,자치구,운영시간,노외여부,ev_충전기_설치수,ev_200m,ev_등록대수,자체소비_점수,EV충전_점수_norm,축3_자가소비적합성
15-가600구간,노상 주차장,37.54841,127.15158,강동구,24.0,0,0,6,5653,0.6,0.16713585602099262,0.5134271712041985
21-37,노외 주차장,37.5122807,127.0855986,송파구,24.0,1,0,41,7851,1.0,0.35670786967749585,0.8713415739354993
BYC,노상 주차장,37.4753253,126.8863954,금천구,14.714285714285714,0,0,40,2257,0.2694915254237288,0.13355321282114765,0.24230386290321257
KBS별관뒤 노상주차장,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
KBS별관옆 노상주차장,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
KBS본관 앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
KBS본관뒤,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
LG텔레콤,노상 주차장,37.4753253,126.8863954,금천구,10.142857142857142,0,0,40,2257,0.10677966101694909,0.13355321282114765,0.11213437137778881
MBC방송국뒤 노상주차장,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
SJ테크노빌,노상 주차장,37.4753253,126.8863954,금천구,10.142857142857142,0,0,40,2257,0.10677966101694909,0.13355321282114765,0.11213437137778881
舊MBC뒤,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
가든예식장 앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
가락 1공영주차장,노외 주차장,37.49672,127.11744,송파구,24.0,1,10,65,7851,1.0,0.5426034838347421,0.9085206967669485
가락 2공영주차장,노외 주차장,37.49672,127.11744,송파구,24.0,1,10,65,7851,1.0,0.5426034838347421,0.9085206967669485
가로공원 지하 주차장,노외 주차장,37.54208,126.84656,강서구,24.0,1,0,5,8009,1.0,0.2569367229554502,0.8513873445910901
가로공원공영주차장,노외 주차장,37.52782,126.83692,양천구,24.0,1,0,22,3941,1.0,0.14684922633864606,0.8293698452677293
가마산고가밑 공영주차장,노상 주차장,37.492864515,126.882595635,구로구,8.857142857142858,0,0,0,3621,0.061016949152542375,0.06948006282902795,0.0627095718878395
가산동 공영주차장,노외 주차장,37.4753253,126.8863954,금천구,11.0,1,0,40,2257,0.5372881355932204,0.13355321282114765,0.4565411510388059
가산동 금천교 공영주차장,노상 주차장,37.46592765,126.8871008,금천구,8.857142857142858,0,5,86,2257,0.061016949152542375,0.3266035287494322,0.11413426507192036
가산디지털 서측,노외 주차장,37.4753253,126.8863954,금천구,14.714285714285714,1,0,40,2257,0.6694915254237288,0.13355321282114765,0.5623038629032125
가산디지털환승,노상 주차장,37.4753253,126.8863954,금천구,14.714285714285714,0,0,40,2257,0.2694915254237288,0.13355321282114765,0.24230386290321257
가산중뒤,노상 주차장,37.468399,126.8979571,금천구,14.714285714285714,0,0,41,2257,0.2694915254237288,0.1364974042579024,0.24289270119056353
가산중앞,노상 주차장,37.468399,126.8979571,금천구,14.714285714285714,0,0,41,2257,0.2694915254237288,0.1364974042579024,0.24289270119056353
가양3동 공영주차장,노외 주차장,37.56033753,126.85977547,강서구,8.857142857142858,1,2,15,8009,0.4610169491525424,0.3094256412580242,0.43069868757363877
가양3동 황금내공원길,노상 주차장,37.5663502,126.8525524,강서구,8.857142857142858,0,0,17,8009,0.061016949152542375,0.29226702019650724,0.10726696336133536
가양라이품 공영주차장,노외 주차장,37.57155732,126.84165292,강서구,24.0,1,0,30,8009,1.0,0.33054150887431905,0.8661083017748639
가양역 공영주차장,노외 주차장,37.56332959,126.85308175,강서구,13.0,1,3,37,8009,0.6084745762711865,0.3857213548341419,0.5639239319837777
가오리 공영주차장,노외 주차장,37.6352212,127.0090642,강북구,24.0,1,0,0,1856,1.0,0.0,0.8
가오천 노상공영주차장,노상 주차장,37.6352212,127.0090642,강북구,8.857142857142858,0,0,0,1856,0.061016949152542375,0.0,0.048813559322033906
가재울 공영주차장,노외 주차장,37.63793,127.07251,노원구,17.0,1,3,26,3918,0.7508474576271187,0.19229109207031936,0.6391361845157588
간송옛집 공영주차장,노외 주차장,37.66442,127.03333,도봉구,24.0,1,0,2,2535,1.0,0.03261754018847266,0.8065235080376946
갈현1동공영주차장,노외 주차장,37.62058,126.91102,은평구,24.0,1,0,0,3656,1.0,0.07085785444320132,0.8141715708886403
강남구 개포동 1-1,노외 주차장,37.48421,127.07006,강남구,24.0,1,0,3,15468,1.0,0.5446754157996289,0.9089350831599259
강남대로150길,노상 주차장,37.5123018,127.0294935,강남구,14.0,0,0,29,15468,0.24406779661016947,0.6212243931552524,0.31949911591918606
강남세곡체육공원,노외 주차장,37.4708898,127.1033677,강남구,24.0,1,0,2,15468,1.0,0.541731224362874,0.9083462448725749
강남치매지원센터 공영주차장,노외 주차장,37.5147838,127.0543618,강남구,24.0,1,0,3,15468,1.0,0.5446754157996289,0.9089350831599259
강남한티주차장,노외 주차장,37.49988,127.03856,강남구,13.285714285714286,1,0,44,15468,0.6186440677966103,0.6653872647065736,0.627992707178603
강변(건물) 공영주차장,노외 주차장,37.5435,127.03742,성동구,24.0,1,0,0,4331,1.0,0.0974295498594018,0.8194859099718804
강일동 주차장,노외 주차장,37.56723,127.1713,강동구,24.0,1,0,17,5653,1.0,0.19952196182529486,0.839904392365059
개봉1동 노외주차장,노외 주차장,37.4931629,126.851736,구로구,24.0,1,0,0,3621,1.0,0.06948006282902795,0.8138960125658057
개봉1동마을공동주차장,노외 주차장,37.4931629,126.851736,구로구,18.642857142857142,1,0,0,3621,0.8093220338983051,0.06948006282902795,0.6613536396844498
개봉고가 공영주차장,노외 주차장,37.4931629,126.851736,구로구,24.0,1,0,0,3621,1.0,0.06948006282902795,0.8138960125658057
개운산,노외 주차장,37.59631,127.03333,성북구,14.0,1,0,30,3533,0.6440677966101696,0.15434164415889176,0.546122566119914
개운산공영주차장,노외 주차장,37.5887938,127.0300906,성북구,24.0,1,0,50,3533,1.0,0.21322547289398674,0.8426450945787974
개포동공원 공영주차장,노외 주차장,37.48421,127.07006,강남구,24.0,1,0,3,15468,1.0,0.5446754157996289,0.9089350831599259
개화산역 공영주차장,노외 주차장,37.57224302,126.80518976,강서구,24.0,1,8,41,8009,1.0,0.45511563041872705,0.8910231260837455
개화역 공영주차장,노외 주차장,37.57798421,126.79821222,강서구,24.0,1,10,52,8009,1.0,0.5105487401580557,0.9021097480316111
거여동(기계식),노외 주차장,37.48921,127.14667,송파구,24.0,1,0,33,7851,1.0,0.3331543381834578,0.8666308676366916
건영백화점앞,노외 주차장,37.64802,127.07678,노원구,9.428571428571429,1,0,71,3918,0.48135593220338985,0.2902092008217435,0.4431265859270606
견인보관소,노외 주차장,37.58773,127.06526,동대문구,24.0,1,0,6,3021,1.0,0.06352592663515604,0.8127051853270313
견인보관소 노외,노외 주차장,37.4753253,126.8863954,금천구,24.0,1,0,40,2257,1.0,0.13355321282114765,0.8267106425642295
경남 공영주차장,노상 주차장,37.5550711,126.9238244,마포구,10.0,0,0,16,4083,0.10169491525423725,0.13477397512419234,0.10831072722822828
경도상가앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
경동고,노외 주차장,37.58635,127.01311,성북구,24.0,1,0,10,3533,1.0,0.09545781542379672,0.8190915630847594
경동고 공영주차장,노외 주차장,37.58635,127.01311,성북구,24.0,1,0,10,3533,1.0,0.09545781542379672,0.8190915630847594
경창시장 고객주차장,노외 주차장,37.52782,126.83692,양천구,24.0,1,0,22,3941,1.0,0.14684922633864606,0.8293698452677293
경호빌딩앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
고분다리 전통시장 공영주차장,노외 주차장,37.54294,127.12733,강동구,24.0,1,0,30,5653,1.0,0.23779645050310663,0.8475592901006214
고분다리전통시장 주차장,노외 주차장,37.54294,127.12733,강동구,24.0,1,0,30,5653,1.0,0.23779645050310663,0.8475592901006214
고척1동마을공동주차장,노외 주차장,37.5032363,126.8588409,구로구,24.0,1,0,31,3621,1.0,0.1607499973684252,0.8321499994736851
고척근린공원지하주차장,노외 주차장,37.5032363,126.8588409,구로구,24.0,1,0,31,3621,1.0,0.1607499973684252,0.8321499994736851
고척리본타운,노외 주차장,37.5032363,126.8588409,구로구,24.0,1,0,31,3621,1.0,0.1607499973684252,0.8321499994736851
고척리본타운주차장,노외 주차장,37.5032363,126.8588409,구로구,24.0,1,0,31,3621,1.0,0.1607499973684252,0.8321499994736851
곰달래 문화복지센터 공영주차장,노외 주차장,37.54208,126.84656,강서구,24.0,1,0,5,8009,1.0,0.2569367229554502,0.8513873445910901
곰달래로5길 노상,노상 주차장,37.52782,126.83692,양천구,8.285714285714286,0,0,22,3941,0.04067796610169494,0.14684922633864606,0.061912218149085166
곰달래주차장,노외 주차장,37.52782,126.83692,양천구,24.0,1,0,22,3941,1.0,0.14684922633864606,0.8293698452677293
공덕1-1 공영주차장,노외 주차장,37.549927,126.9592897,마포구,24.0,1,0,18,4083,1.0,0.14066235799770183,0.8281324715995404
공항2임시,노외 주차장,37.5556799,126.7931257,강서구,24.0,1,0,0,8009,1.0,0.2422157657716765,0.8484431531543354
공항동(송정역),노외 주차장,37.5556799,126.7931257,강서구,24.0,1,0,0,8009,1.0,0.2422157657716765,0.8484431531543354
관악신사시장 공영주차장,노외 주차장,37.4868971,126.928177,관악구,10.0,1,0,0,3005,0.5016949152542373,0.04523093041957684,0.4104021182873052
관악초 공영주차장,노외 주차장,37.484665,126.9484961,관악구,24.0,1,3,4,3005,1.0,0.0915782020691355,0.8183156404138271
관철동 공영주차장,노상 주차장,37.56843983,126.98628105,종로구,10.714285714285714,0,0,50,1896,0.12711864406779658,0.14878419082536423,0.13145175341931012
광장공영주차장,노외 주차장,37.53608,126.87585,양천구,10.0,1,0,3,3941,0.5016949152542373,0.09090958904030579,0.419537850011451
광장주차장,노외 주차장,37.53608,126.87585,양천구,10.0,1,0,3,3941,0.5016949152542373,0.09090958904030579,0.419537850011451
광진광장 공영주차장,노외 주차장,37.5532345,127.071936,광진구,24.0,1,0,7,2445,1.0,0.043795604650086355,0.8087591209300173
광화문빌딩,노상 주차장,37.5716796,126.9739063,종로구,10.857142857142858,0,5,42,1896,0.13220338983050847,0.18284816916889232,0.14233234569818526
교남 공영주차장,노외 주차장,37.57425,126.96215,종로구,24.0,1,0,0,1896,1.0,0.0015746189876266936,0.8003149237975253
교대역동측주차장,노외 주차장,37.48818,127.01751,서초구,14.0,1,0,10,8665,0.6440677966101696,0.2974814315363018,0.574750523595396
교보생명옆 노상주차장,노상 주차장,37.5224036,126.89391,영등포구,8.857142857142858,0,10,47,4323,0.061016949152542375,0.35072664326448194,0.1189588879749303
교육청길 공영주차장,노상 주차장,37.628995,127.0257543,강북구,8.857142857142858,0,0,14,1856,0.061016949152542375,0.04121868011456651,0.05705729534494721
교통공원길,노상 주차장,37.5184928,127.1030779,송파구,12.0,0,0,72,7851,0.17288135593220336,0.4479778042168931,0.2279006455891413
교통공원길(B) 노상공영주차장,노상 주차장,37.5184928,127.1030779,송파구,12.0,0,0,72,7851,0.17288135593220336,0.4479778042168931,0.2279006455891413
교통공원길(C) 노상공영주차장,노상 주차장,37.5184928,127.1030779,송파구,12.0,0,0,72,7851,0.17288135593220336,0.4479778042168931,0.2279006455891413
교통광장 공영주차장,노외 주차장,37.6575291,127.0089505,강북구,24.0,1,0,1,1856,1.0,0.0029441914367547505,0.800588838287351
구로2동 소공원 공영주차장,노외 주차장,37.4945849,126.8845477,구로구,24.0,1,0,0,3621,1.0,0.06948006282902795,0.8138960125658057
구로3동 마을공동주차장,노외 주차장,37.4945849,126.8845477,구로구,12.571428571428571,1,0,0,3621,0.5932203389830508,0.06948006282902795,0.4884722837522463
구로3동마을주차장,노외 주차장,37.4945849,126.8845477,구로구,12.571428571428571,1,0,0,3621,0.5932203389830508,0.06948006282902795,0.4884722837522463
구로4동 마을공동 주차장,노외 주차장,37.4945849,126.8845477,구로구,24.0,1,0,0,3621,1.0,0.06948006282902795,0.8138960125658057
구로5동마을공동주차장,노외 주차장,37.4945849,126.8845477,구로구,24.0,1,0,0,3621,1.0,0.06948006282902795,0.8138960125658057
구로구 개봉동 60-95,노외 주차장,37.4931629,126.851736,구로구,24.0,1,0,0,3621,1.0,0.06948006282902795,0.8138960125658057
구로리공원지하주차장,노외 주차장,37.4945849,126.8845477,구로구,24.0,1,0,0,3621,1.0,0.06948006282902795,0.8138960125658057
구로미래도서관 공영주차장,노외 주차장,37.4945849,126.8845477,구로구,24.0,1,0,0,3621,1.0,0.06948006282902795,0.8138960125658057
구로아트밸리 지하주차장,노외 주차장,37.4945849,126.8845477,구로구,24.0,1,0,0,3621,1.0,0.06948006282902795,0.8138960125658057
구룡 공영주차장,노외 주차장,37.468399,126.8979571,금천구,11.0,1,0,41,2257,0.5372881355932204,0.1364974042579024,0.45712998932615684
구룡공영주차빌딩,노외 주차장,37.46838,127.0361,서초구,24.0,1,0,12,8665,1.0,0.3033698144098113,0.8606739628819623
구룡공원 공영주차장,노외 주차장,37.46838,127.0361,서초구,24.0,1,0,12,8665,1.0,0.3033698144098113,0.8606739628819623
구룡산제1호,노외 주차장,37.48421,127.07006,강남구,7.142857142857143,1,0,3,15468,0.4,0.5446754157996289,0.42893508315992585
구룡산제2호,노외 주차장,37.48421,127.07006,강남구,7.142857142857143,1,0,3,15468,0.4,0.5446754157996289,0.42893508315992585
구름다리주차장,노외 주차장,37.52782,126.83692,양천구,24.0,1,0,22,3941,1.0,0.14684922633864606,0.8293698452677293
구릉공영 주차장,노외 주차장,37.4955756,126.9195788,동작구,24.0,1,0,5,2867,1.0,0.0545194520960385,0.8109038904192077
구릉주차장,노외 주차장,37.4955756,126.9195788,동작구,15.0,1,0,5,2867,0.6796610169491526,0.0545194520960385,0.5546327039785298
구산동 마을공원 지하 공동주차장,노외 주차장,37.6122812,126.9082658,은평구,24.0,1,0,35,3656,1.0,0.1739045547296176,0.8347809109459235
구산동 마을공원 지하공동주차장,노외 주차장,37.6122812,126.9082658,은평구,24.0,1,0,35,3656,1.0,0.1739045547296176,0.8347809109459235
구암길,노상 주차장,37.5498936,126.86025,강서구,8.857142857142858,0,4,9,8009,0.061016949152542375,0.3148074965725221,0.11177505863653833
구의1동 공영주차장,노외 주차장,37.54417,127.09262,광진구,24.0,1,0,12,2445,1.0,0.05851656183386011,0.8117033123667721
구의2동 주택가 공영주차장,노외 주차장,37.54417,127.09262,광진구,24.0,1,0,12,2445,1.0,0.05851656183386011,0.8117033123667721
구의3동 공영주차장,노외 주차장,37.54417,127.09262,광진구,24.0,1,0,12,2445,1.0,0.05851656183386011,0.8117033123667721
구청사주변,노상 주차장,37.66727,127.07242,노원구,14.714285714285714,0,0,1,3918,0.2694915254237288,0.08411580024891092,0.23241638038876522
구청앞,노상 주차장,37.6352212,127.0090642,강북구,8.857142857142858,0,0,0,1856,0.061016949152542375,0.0,0.048813559322033906
구파발역 공영주차장,노외 주차장,37.638209,126.918987,은평구,24.0,1,6,64,3656,1.0,0.3284271182005847,0.865685423640117
국도화학,노상 주차장,37.4753253,126.8863954,금천구,14.714285714285714,0,0,40,2257,0.2694915254237288,0.13355321282114765,0.24230386290321257
국민은행앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
국민일보사옥앞,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
국민일보사옥앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구,8.857142857142858,0,0,43,4323,0.061016949152542375,0.22371485784233072,0.09355653089050006
금남시장 공영주차장,노외 주차장,37.54998,127.02213,성동구,24.0,1,4,37,4331,1.0,0.2524586408893804,0.8504917281778761
기륭전자,노상 주차장,37.4753253,126.8863954,금천구,14.714285714285714,0,0,40,2257,0.2694915254237288,0.13355321282114765,0.24230386290321257
길음역환승주차장,노외 주차장,37.60444,127.03764,성북구,24.0,1,0,9,3533,1.0,0.09251362398704198,0.8185027247974085
까치공원공영주차장,노외 주차장,37.58178,127.09034,중랑구,24.0,1,0,0,3158,1.0,0.05125384804724895,0.8102507696094499
까치산 전통시장 고객주차장,노외 주차장,37.54208,126.84656,강서구,10.0,1,0,5,8009,0.5016949152542373,0.2569367229554502,0.4527432767944799
깨비시장 고객주차장,노외 주차장,37.53608,126.87585,양천구,24.0,1,0,3,3941,1.0,0.09090958904030579,0.8181819178080612
꿈나무길 노상공영주차장,노상 주차장,37.5498936,126.86025,강서구,8.857142857142858,0,4,9,8009,0.061016949152542375,0.3148074965725221,0.11177505863653833
낙산 공영주차장,노외 주차장,37.57595,127.01313,종로구,24.0,1,0,2,1896,1.0,0.007463001861136196,0.8014926003722272
낙성대 제2공영주차장,노상 주차장,37.484665,126.9484961,관악구,9.142857142857142,0,3,4,3005,0.07118644067796608,0.0915782020691355,0.07526479295619996
낙성대제2공영,노상 주차장,37.484665,126.9484961,관악구,9.142857142857142,0,3,4,3005,0.07118644067796608,0.0915782020691355,0.07526479295619996
난곡스마트 공영주차장,노외 주차장,37.4868971,126.928177,관악구,24.0,1,0,0,3005,1.0,0.04523093041957684,0.8090461860839154
난지중앙로노상공영주차장,노상 주차장,37.5691472,126.8804551,마포구,13.0,0,0,2,4083,0.20847457627118646,0.09355529500962582,0.18549072001887434
남가좌2동 제1공영주차장,노외 주차장,37.57744,126.9179,서대문구,12.0,1,0,171,2799,0.5728813559322034,0.5405783783183618,0.5664207604094351
남가좌2동 제2공영주차장,노외 주차장,37.57744,126.9179,서대문구,12.0,1,0,171,2799,0.5728813559322034,0.5405783783183618,0.5664207604094351
남부골목 전통시장 고객주차장,노외 주차장,37.54208,126.84656,강서구,9.5,1,0,5,8009,0.4838983050847458,0.2569367229554502,0.43850598865888674
남부순환로397길,노상 주차장,37.49882,127.06566,강남구,14.0,0,0,15,15468,0.24406779661016947,0.5800057130406859,0.3112553798962728
남부여성발전센터 공영주차장,노외 주차장,37.462917,126.905718,금천구,24.0,1,5,5,2257,1.0,0.08812402237229747,0.8176248044744595
남부초 공영주차장,노외 주차장,37.4868971,126.928177,관악구,24.0,1,0,0,3005,1.0,0.04523093041957684,0.8090461860839154
남부초등학교(지하주차장),노외 주차장,37.4868971,126.928177,관악구,24.0,1,0,0,3005,1.0,0.04523093041957684,0.8090461860839154
남산동 공영주차장,노외 주차장,37.55841,126.98532,중구,24.0,1,0,1,2000,1.0,0.008612819792210864,0.8017225639584422
남산케이블카 공영주차장,노상 주차장,37.55592104,126.98384264,중구,12.0,0,0,1,2000,0.17288135593220336,0.008612819792210864,0.14002764870420487
남산파출소 공영주차장,노상 주차장,37.55489261,126.98190801,중구,8.857142857142858,0,0,0,2000,0.061016949152542375,0.005668628355456112,0.049947284993125125
남산파출소공영주차장,노외 주차장,37.55689,126.98138,중구,8.857142857142858,1,0,24,2000,0.4610169491525424,0.07632922283757011,0.3840794038895479
남성사계시장공영주차장,노외 주차장,37.4856963,126.9723525,동작구,24.0,1,2,34,2867,1.0,0.16294800769695272,0.8325896015393905
남성역공영주차장,노외 주차장,37.4856963,126.9723525,동작구,24.0,1,2,34,2867,1.0,0.16294800769695272,0.8325896015393905
남현소공원 공영주차장,노외 주차장,37.4715479,126.9764934,관악구,24.0,1,0,8,3005,1.0,0.06878446191361484,0.813756892382723
내곡동 (임시) 공영주차장,노외 주차장,37.44505,127.05985,서초구,24.0,1,0,0,8665,1.0,0.2680395171687543,0.8536079034337509
냉천길 공영주차장,노외 주차장,37.628995,127.0257543,강북구,24.0,1,0,14,1856,1.0,0.04121868011456651,0.8082437360229133
노량진역공영주차장,노외 주차장,37.5110101,126.9414634,동작구,24.0,1,0,5,2867,1.0,0.0545194520960385,0.8109038904192077
노원세무서 앞 공영주차장,노상 주차장,37.64643,127.04326,도봉구,11.0,0,0,2,2535,0.13728813559322034,0.03261754018847266,0.11635401651227081
논현로22길,노외 주차장,37.48421,127.07006,강남구,24.0,1,0,3,15468,1.0,0.5446754157996289,0.9089350831599259
논현로28길 노상공영 주차장,노상 주차장,37.4878395,127.0438569,강남구,14.0,0,0,2,15468,0.24406779661016947,0.541731224362874,0.3036004821607104
논현로32길15 공영주차장,노외 주차장,37.4878395,127.0438569,강남구,24.0,1,0,2,15468,1.0,0.541731224362874,0.9083462448725749
논현초교 공영주차장,노외 주차장,37.5123018,127.0294935,강남구,24.0,1,0,29,15468,1.0,0.6212243931552524,0.9242448786310505
놀이마당,노외 주차장,37.5122807,127.0855986,송파구,24.0,1,0,41,7851,1.0,0.35670786967749585,0.8713415739354993
누리 공영주차장,노외 주차장,37.5162407,126.8521196,양천구,10.0,1,0,26,3941,0.5016949152542373,0.15862599208566505,0.43308113062052284
늘봄주차장,노외 주차장,37.58178,127.09034,중랑구,24.0,1,0,0,3158,1.0,0.05125384804724895,0.8102507696094499
능골주차장,노외 주차장,37.52782,126.83692,양천구,24.0,1,0,22,3941,1.0,0.14684922633864606,0.8293698452677293
능동공영주차장,노외 주차장,37.55444,127.08156,광진구,24.0,1,0,4,2445,1.0,0.0349630303398221,0.8069926060679644
다동공원 제4부지 공영주차장,노외 주차장,37.56749,126.98075,중구,13.857142857142858,1,0,38,2000,0.6389830508474577,0.11754790295213663,0.5346960212683934
다락골주차장,노외 주차장,37.5162407,126.8521196,양천구,24.0,1,0,26,3941,1.0,0.15862599208566505,0.8317251984171331
다목적 공영주차장,노외 주차장,37.468399,126.8979571,금천구,11.0,1,0,41,2257,0.5372881355932204,0.1364974042579024,0.45712998932615684
달마을주차장,노외 주차장,37.53608,126.87585,양천구,24.0,1,0,3,3941,1.0,0.09090958904030579,0.8181819178080612
답십리2동 노외주차장(홍약국옆),노외 주차장,37.57002,127.05467,동대문구,24.0,1,0,0,3021,1.0,0.04586077801462752,0.8091721556029255
당고개위 공영주차장,노상 주차장,37.67044313,127.08058642,노원구,13.0,0,0,1,3918,0.20847457627118646,0.08411580024891092,0.18360282106673137
당곡주차장,노외 주차장,37.52782,126.83692,양천구,24.0,1,0,22,3941,1.0,0.14684922633864606,0.8293698452677293
당산1동공영,노외 주차장,37.52616,126.89724,영등포구,24.0,1,0,20,4323,1.0,0.1559984547969715,0.8311996909593944
당산2동,노외 주차장,37.5346241,126.9065487,영등포구,24.0,1,0,7,4323,1.0,0.11772396611915974,0.823544793223832
당산고가밑 공영주차장,노상 주차장,37.53239477,126.90068662,영등포구,8.857142857142858,0,0,95,4323,0.061016949152542375,0.3768128125535778,0.12417612183274947
당산근린공원 공영,노외 주차장,37.52616,126.89724,영등포구,24.0,1,0,20,4323,1.0,0.1559984547969715,0.8311996909593944
당산노외공영주차장,노외 주차장,37.52625065,126.89945376,영등포구,13.0,1,2,40,4323,0.6084745762711865,0.23792928746709294,0.5343655185103678
당인 유료 주차장,노상 주차장,37.5477846,126.9095636,마포구,14.0,0,0,0,4083,0.24406779661016947,0.08766691213611631,0.21278761971535887
당인노상공영주차장,노상 주차장,37.5477846,126.9095636,마포구,11.0,0,0,0,4083,0.13728813559322034,0.08766691213611631,0.12736389090179953
대림1동공영,노외 주차장,37.4957573,126.899936,영등포구,24.0,1,2,9,4323,1.0,0.14665935292769566,0.8293318705855391
대림2동공영,노외 주차장,37.4957573,126.899936,영등포구,24.0,1,2,9,4323,1.0,0.14665935292769566,0.8293318705855391
대림3동 공영주차장,노외 주차장,37.4957573,126.899936,영등포구,24.0,1,2,9,4323,1.0,0.14665935292769566,0.8293318705855391
대림노외공영주차장,노외 주차장,37.4928472,126.89433148,구로구,10.0,1,2,21,3621,0.5016949152542373,0.15435508693590416,0.4322269495905707
대림역,노상 주차장,37.4957573,126.899936,영등포구,8.857142857142858,0,2,9,4323,0.061016949152542375,0.14665935292769566,0.07814542990757303
대림역 공영주차장,노상 주차장,37.493081185,126.89539544,영등포구,8.857142857142858,0,0,5,4323,0.061016949152542375,0.11183558324565022,0.07118067597116395
대림역2 공영주차장,노상 주차장,37.49583349,126.89369871,구로구,8.857142857142858,0,0,18,3621,0.061016949152542375,0.12247550869061347,0.0733086610601566
대림운동장,노외 주차장,37.4957573,126.899936,영등포구,24.0,1,2,9,4323,1.0,0.14665935292769566,0.8293318705855391
대방생태공영주차장,노외 주차장,37.5067997,126.9291349,동작구,24.0,1,0,2,2867,1.0,0.045686877785774245,0.8091373755571549
대왕초 공영주차장,노외 주차장,37.4708898,127.1033677,강남구,24.0,1,0,2,15468,1.0,0.541731224362874,0.9083462448725749
대지시장길 공영주차장,노외 주차장,37.628995,127.0257543,강북구,24.0,1,0,14,1856,1.0,0.04121868011456651,0.8082437360229133
대청역 공영주차장,노외 주차장,37.48421,127.07006,강남구,24.0,1,0,3,15468,1.0,0.5446754157996289,0.9089350831599259
대치2문화센터 공영주차장,노외 주차장,37.49882,127.06566,강남구,20.571428571428573,1,0,15,15468,0.8779661016949153,0.5800057130406859,0.8183740239640694
대치동507-3,노상 주차장,37.49882,127.06566,강남구,14.0,0,0,15,15468,0.24406779661016947,0.5800057130406859,0.3112553798962728
대치유수지,노상 주차장,37.49882,127.06566,강남구,14.0,0,0,15,15468,0.24406779661016947,0.5800057130406859,0.3112553798962728
대현산배수지 주차장,노외 주차장,37.55286,127.02393,성동구,24.0,1,10,58,4331,1.0,0.3834276728663095,0.8766855345732619
대흥공영주차장,노외 주차장,37.5510043,126.9419496,마포구,24.0,1,0,33,4083,1.0,0.1848252295490231,0.8369650459098047
